TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Army,14,13,26.81,60.89,0.44,17.93,35.78,0.50,8.89,25.11,0.35,9.78,14.37,0.68,72.30,8.07,24.78,32.85,13.41,6.07,3.44,11.22,15.15
Bucknell,12,18,25.20,54.07,0.47,19.10,35.73,0.53,6.10,18.33,0.33,14.53,20.57,0.70,71.03,7.27,25.73,33.00,12.77,6.83,3.20,13.70,15.97
Kentucky,22,5,23.33,58.33,0.40,16.63,36.96,0.46,6.70,21.37,0.32,13.19,19.37,0.66,66.56,9.07,20.37,29.44,10.74,5.00,3.37,11.04,19.30
Vanderbilt,9,20,26.41,56.31,0.47,19.83,37.38,0.53,6.59,18.93,0.34,15.59,21.21,0.74,75.00,7.93,25.45,33.38,13.48,5.41,4.28,13.28,20.69
Michigan St.,20,8,23.07,60.82,0.38,16.75,38.29,0.44,6.32,22.54,0.28,12.46,17.57,0.72,64.93,8.43,21.21,29.64,12.89,6.11,3.43,9.86,16.96
Northwestern,7,22,25.00,59.00,0.43,16.48,34.41,0.48,8.52,24.59,0.34,11.76,16.59,0.72,70.28,9.07,25.97,35.03,15.62,5.14,3.45,10.21,14.69
DePaul,11,16,24.67,57.93,0.43,16.26,33.59,0.49,8.41,24.33,0.34,15.37,20.56,0.75,73.11,8.74,24.44,33.19,14.63,8.07,4.00,14.70,18.41
Seton Hall,18,8,24.15,59.85,0.41,17.65,39.58,0.45,6.50,20.27,0.31,13.15,18.27,0.72,67.96,9.88,23.27,33.15,11.65,6.35,2.88,13.04,17.85
Boston University,19,11,25.07,57.60,0.44,18.30,36.90,0.50,6.77,20.70,0.32,9.83,14.87,0.66,66.73,7.77,22.73,30.50,11.37,6.43,2.70,10.47,15.73
Loyola MD,13,15,26.39,60.68,0.44,18.54,36.00,0.52,7.86,24.68,0.32,13.79,19.14,0.72,74.43,9.39,23.04,32.43,14.89,6.57,2.86,11.82,20.11
Bradley,21,10,22.55,57.06,0.40,14.77,32.84,0.45,7.77,24.23,0.32,13.00,17.35,0.76,65.87,8.06,22.19,30.26,11.61,5.81,2.87,10.84,17.45
Valparaiso,16,15,25.65,56.81,0.45,18.32,36.81,0.50,7.32,20.00,0.37,12.35,17.65,0.71,70.97,7.68,24.81,32.48,13.19,6.03,2.55,13.03,15.52
UCF,14,13,23.96,57.33,0.42,17.30,36.00,0.48,6.67,21.33,0.32,12.96,17.30,0.74,67.56,9.00,23.15,32.15,13.93,6.89,2.63,13.67,17.67
Memphis,18,9,22.15,61.04,0.37,16.11,39.33,0.42,6.04,21.70,0.28,15.00,21.48,0.70,65.33,10.44,23.33,33.78,11.70,7.93,3.07,13.74,19.07
The Citadel,6,21,29.11,65.04,0.45,19.56,36.89,0.53,9.56,28.15,0.33,12.22,17.41,0.72,80.00,10.26,26.96,37.22,15.19,7.41,2.78,13.93,17.19
Wofford,17,13,23.73,54.90,0.44,15.93,30.67,0.53,7.80,24.23,0.33,12.73,17.93,0.71,68.00,7.20,22.33,29.53,11.77,6.13,2.40,12.07,15.73
Colgate,24,6,25.07,59.07,0.43,18.03,36.10,0.51,7.03,22.97,0.30,9.43,14.53,0.68,66.60,7.90,24.03,31.93,12.63,4.90,2.63,11.90,16.33
Lafayette,17,10,26.22,61.74,0.43,19.11,39.19,0.49,7.11,22.56,0.31,9.00,13.52,0.66,68.56,8.74,24.22,32.96,12.11,5.56,1.78,9.19,14.15
Connecticut,17,11,23.39,56.00,0.42,18.00,40.00,0.45,5.39,16.00,0.33,14.11,19.14,0.74,66.29,8.39,22.04,30.43,11.89,7.14,4.04,14.93,18.89
Temple,11,17,23.93,59.29,0.41,16.36,34.89,0.47,7.57,24.39,0.31,13.14,18.18,0.71,68.57,8.36,26.04,34.39,13.43,6.46,4.07,12.18,16.54
Dayton,27,2,23.28,56.93,0.41,17.03,37.72,0.45,6.24,19.21,0.32,11.28,17.72,0.65,64.07,8.28,20.72,29.00,10.97,5.31,2.76,12.14,17.86
Duquesne,18,9,24.85,58.11,0.43,18.15,36.59,0.49,6.70,21.52,0.32,11.52,17.30,0.67,67.93,9.37,23.41,32.78,13.48,6.22,3.11,12.67,17.85
East Carolina,10,17,24.63,57.52,0.43,16.48,32.70,0.51,8.15,24.81,0.33,15.30,23.04,0.66,72.70,8.52,24.70,33.22,13.93,7.04,3.41,12.96,18.93
Houston,22,7,20.24,53.17,0.38,14.31,32.14,0.45,5.93,21.03,0.28,15.59,22.45,0.69,62.00,7.24,20.41,27.66,11.00,5.21,2.41,11.59,19.34
East Tennessee St.,27,4,22.45,52.65,0.43,16.26,32.06,0.51,6.19,20.58,0.30,12.23,17.39,0.71,63.32,7.00,21.61,28.61,10.42,6.03,3.10,15.19,19.32
Mercer,14,14,24.61,56.75,0.44,17.29,33.29,0.53,7.32,23.46,0.31,12.50,19.36,0.63,69.04,8.18,21.57,29.75,12.71,6.93,2.46,12.14,15.43
Fordham,6,22,21.43,52.93,0.41,13.61,27.57,0.50,7.82,25.36,0.31,12.29,17.89,0.69,62.96,7.68,26.61,34.29,13.25,6.79,2.75,13.32,15.50
St. Bonaventure,18,9,23.19,55.81,0.41,14.59,30.11,0.48,8.59,25.70,0.34,11.52,16.81,0.67,66.48,7.11,22.30,29.41,13.85,5.30,2.96,11.26,15.67
Furman,21,7,24.54,55.86,0.44,17.25,32.18,0.54,7.29,23.68,0.31,11.11,15.32,0.71,67.46,7.57,24.00,31.57,13.25,6.46,2.61,15.21,16.00
VMI,8,19,23.56,55.78,0.42,16.07,32.19,0.50,7.48,23.59,0.31,15.96,22.04,0.70,70.56,8.19,23.11,31.30,12.67,5.81,2.63,12.67,15.11
Davidson,15,12,24.04,55.74,0.44,17.15,35.22,0.50,6.89,20.52,0.33,12.78,17.74,0.72,67.74,7.11,23.37,30.48,12.15,5.15,2.78,10.70,17.22
George Washington,11,17,26.00,57.04,0.46,20.00,38.96,0.51,6.00,18.07,0.33,12.50,18.14,0.69,70.50,7.43,25.14,32.57,12.04,6.82,3.79,10.50,16.71
Binghamton,9,16,27.96,61.92,0.46,20.04,38.28,0.52,7.92,23.64,0.34,11.76,18.24,0.65,75.60,9.76,25.28,35.04,14.04,6.36,2.60,9.80,15.00
Hartford,15,13,24.39,59.21,0.41,18.18,36.07,0.51,6.21,23.14,0.27,12.39,17.21,0.72,67.39,9.93,25.00,34.93,12.82,6.57,3.21,12.54,17.11
Drake,17,13,23.67,55.53,0.43,15.33,32.90,0.47,8.33,22.63,0.36,12.83,17.30,0.74,68.50,6.17,23.97,30.13,11.33,6.43,2.67,11.37,16.47
Indiana St.,18,9,23.70,53.81,0.44,17.48,34.26,0.51,6.22,19.56,0.33,11.48,16.59,0.68,65.11,6.96,23.56,30.52,12.19,5.22,2.52,12.07,18.11
Alabama,15,13,27.29,64.36,0.43,20.21,42.04,0.48,7.07,22.32,0.32,17.50,23.39,0.75,79.14,10.64,25.75,36.39,11.89,8.11,3.93,13.93,20.46
LSU,19,9,26.68,62.18,0.43,17.89,36.64,0.49,8.79,25.54,0.35,10.82,16.11,0.65,72.96,9.21,21.21,30.43,12.86,5.07,3.32,11.07,17.39
Albany,13,16,24.76,58.76,0.42,16.59,35.55,0.47,8.17,23.21,0.36,11.34,16.24,0.70,69.03,8.31,25.10,33.41,13.48,7.86,3.34,12.31,17.62
UMBC,12,17,23.55,55.38,0.43,15.28,30.14,0.50,8.28,25.24,0.33,13.41,17.72,0.75,68.79,8.24,24.69,32.93,12.07,6.41,2.93,12.34,17.48
Massachusetts,10,17,26.59,57.26,0.47,20.59,39.26,0.53,6.00,18.00,0.33,13.74,19.78,0.69,72.93,8.93,24.96,33.89,14.74,7.11,2.33,13.56,17.96
Saint Joseph's,4,24,28.82,61.00,0.47,21.36,40.39,0.53,7.46,20.61,0.37,13.75,18.86,0.75,78.86,8.50,27.29,35.79,14.43,6.46,3.75,9.82,15.93
Umass Lowell,11,14,28.64,60.48,0.48,21.56,39.48,0.55,7.08,21.00,0.34,13.20,17.64,0.74,77.56,8.76,23.32,32.08,13.40,6.72,3.00,13.12,19.96
Stony Brook,16,11,23.22,59.22,0.39,14.70,33.81,0.44,8.52,25.41,0.34,11.78,16.93,0.69,66.74,8.93,24.15,33.07,13.74,6.44,2.67,12.70,16.96
McNeese St.,13,13,27.38,62.69,0.44,18.58,38.31,0.49,8.81,24.38,0.36,12.31,16.58,0.73,75.88,9.85,20.65,30.50,14.42,7.46,2.88,12.96,18.42
Nicholls St.,19,8,23.44,54.81,0.43,17.63,36.33,0.48,5.81,18.48,0.32,16.00,21.74,0.73,68.70,8.70,22.56,31.26,13.11,6.37,2.41,17.44,16.70
Holy Cross,3,26,29.21,58.93,0.50,21.72,39.38,0.55,7.48,19.55,0.37,12.97,18.38,0.69,78.86,7.72,24.28,32.00,14.14,7.28,2.86,10.62,14.79
Navy,12,15,23.04,52.48,0.44,15.59,30.74,0.51,7.44,21.74,0.35,11.04,16.04,0.69,64.56,6.48,22.30,28.78,12.85,5.70,4.22,10.59,16.37
New Hampshire,13,13,22.42,55.77,0.41,15.85,34.42,0.46,6.58,21.35,0.31,14.73,21.54,0.68,66.15,6.35,26.00,32.35,8.69,6.19,3.00,11.73,17.12
Vermont,22,7,20.48,53.17,0.39,13.03,30.86,0.43,7.45,22.31,0.34,11.10,15.41,0.71,59.52,6.34,22.55,28.90,10.55,5.55,2.41,12.17,16.93
Missouri St.,14,15,24.17,55.41,0.44,16.55,33.83,0.49,7.62,21.59,0.35,13.31,18.48,0.72,69.28,6.52,22.17,28.69,11.21,5.86,2.93,11.62,16.28
Northern Iowa,21,6,24.07,57.19,0.42,16.59,35.07,0.47,7.48,22.11,0.34,10.00,14.37,0.69,65.63,5.93,20.07,26.00,11.22,6.70,2.41,9.26,14.85
Notre Dame,16,11,26.52,63.30,0.42,18.85,40.74,0.47,7.67,22.56,0.35,9.56,12.89,0.73,70.26,9.44,26.00,35.44,13.22,5.85,3.22,10.67,15.15
Wake Forest,11,16,26.67,60.56,0.44,19.37,38.89,0.50,7.30,21.67,0.34,14.74,21.11,0.69,75.37,8.74,23.74,32.48,13.33,7.37,3.56,10.59,19.96
Monmouth,17,9,22.65,54.54,0.41,15.04,31.88,0.47,7.62,22.65,0.33,15.69,22.50,0.69,68.62,8.58,26.58,35.15,11.19,5.54,3.54,16.15,20.35
Saint Peter's,18,10,21.00,52.46,0.40,14.86,33.61,0.44,6.14,18.86,0.33,15.64,21.68,0.72,63.79,7.29,20.43,27.71,11.25,7.61,5.00,14.57,18.21
Sam Houston St.,17,11,24.11,56.82,0.43,16.43,32.89,0.51,7.68,23.93,0.32,16.86,22.82,0.72,72.75,8.93,24.04,32.96,12.82,7.21,3.07,17.79,18.86
Texas A&M Corpus Chris,13,14,23.30,54.15,0.43,17.56,35.63,0.49,5.74,18.52,0.31,16.78,22.81,0.73,69.11,8.04,20.41,28.44,12.44,8.63,3.04,13.63,18.26
Chattanooga,17,12,25.66,57.52,0.45,19.00,36.24,0.53,6.66,21.28,0.31,10.48,14.97,0.68,68.45,6.83,22.93,29.76,11.72,5.76,2.93,10.72,16.07
Samford,8,20,31.04,66.36,0.47,19.57,36.61,0.54,11.46,29.75,0.38,10.71,15.54,0.68,84.25,11.25,24.93,36.18,19.25,7.79,3.46,13.29,18.79
UNC Greensboro,19,7,22.62,51.62,0.44,15.27,31.08,0.50,7.35,20.54,0.37,13.08,18.77,0.70,65.65,7.00,23.19,30.19,11.27,5.88,2.46,16.81,16.73
Western Carolina,17,10,26.70,61.59,0.44,18.37,35.30,0.53,8.33,26.30,0.32,13.22,18.22,0.71,74.96,7.81,22.70,30.52,12.44,6.63,3.33,11.44,19.30
Arkansas,17,12,24.90,56.72,0.44,19.45,37.97,0.52,5.45,18.76,0.29,17.03,24.07,0.70,72.28,9.41,26.52,35.93,10.31,4.93,3.03,15.03,21.62
South Carolina,15,13,21.86,54.21,0.40,15.11,32.21,0.47,6.75,22.00,0.32,21.18,28.86,0.74,71.64,8.71,24.07,32.79,11.93,6.32,3.54,14.86,20.25
Central Arkansas,9,17,28.27,63.73,0.44,19.50,39.85,0.49,8.77,23.88,0.36,16.50,23.04,0.70,81.81,9.19,23.81,33.00,15.27,9.73,3.04,13.15,21.08
Southeastern Louisiana,6,21,27.48,57.22,0.48,20.59,36.56,0.57,6.89,20.67,0.33,17.56,23.22,0.77,79.41,10.19,25.41,35.59,16.11,7.33,3.37,16.59,18.59
Houston Baptist,4,22,33.81,65.04,0.52,25.12,42.77,0.59,8.69,22.27,0.39,17.73,23.85,0.74,94.04,9.58,23.46,33.04,19.04,8.27,4.69,12.50,19.92
Incarnate Word,8,19,26.48,57.22,0.46,19.85,38.11,0.52,6.63,19.11,0.35,14.85,19.52,0.75,74.44,9.56,23.41,32.96,15.33,6.74,3.56,14.30,17.07
Evansville,6,23,27.14,56.62,0.49,21.21,40.10,0.54,5.93,16.52,0.35,14.21,18.83,0.77,74.41,7.21,26.34,33.55,11.38,5.38,2.45,11.52,18.41
Illinois St.,8,20,24.86,56.18,0.45,17.29,34.11,0.51,7.57,22.07,0.35,12.79,17.68,0.71,70.07,7.79,24.29,32.07,13.29,6.57,2.46,12.43,15.50
Kansas St.,8,21,22.52,51.31,0.44,15.72,31.10,0.51,6.79,20.21,0.32,14.21,20.24,0.70,66.03,8.00,23.03,31.03,11.93,7.66,4.14,15.31,17.48
Oklahoma,15,12,24.89,62.33,0.40,16.33,37.56,0.45,8.56,24.78,0.35,9.11,12.59,0.72,67.44,9.26,25.70,34.96,11.78,6.48,2.44,11.11,17.04
La Salle,14,13,23.93,54.63,0.44,17.81,34.85,0.52,6.11,19.78,0.31,16.00,22.37,0.71,69.96,7.22,24.15,31.37,13.19,8.04,3.85,13.63,18.07
Saint Louis,20,7,22.04,54.93,0.40,15.41,33.59,0.46,6.63,21.33,0.31,13.74,19.67,0.70,64.44,7.26,22.78,30.04,10.15,6.89,3.48,12.74,18.37
New Orleans,8,18,27.38,55.92,0.49,20.54,36.88,0.56,6.85,19.04,0.36,16.27,21.81,0.74,77.96,8.23,22.00,30.23,15.35,6.81,4.42,15.69,19.81
Northwestern St.,14,12,25.96,63.85,0.41,18.50,42.08,0.44,7.46,21.77,0.34,16.65,23.31,0.72,76.04,11.88,22.58,34.46,13.77,8.15,2.54,12.96,19.19
Oral Roberts,16,11,25.96,59.07,0.44,18.11,35.67,0.51,7.85,23.41,0.33,12.19,16.59,0.72,71.96,8.19,23.67,31.85,12.67,4.15,2.96,12.74,16.89
South Dakota St.,19,8,26.07,60.93,0.43,18.85,37.37,0.51,7.22,23.56,0.31,10.11,14.89,0.68,69.48,8.52,21.44,29.96,11.85,6.33,3.15,10.63,18.07
Indiana,16,12,24.00,56.68,0.43,16.93,34.57,0.49,7.07,22.11,0.32,11.68,17.29,0.68,66.75,7.25,22.79,30.04,12.50,6.07,3.43,11.46,18.07
Penn St.,18,10,24.75,59.71,0.42,18.18,39.93,0.46,6.57,19.79,0.33,13.14,19.04,0.67,69.21,8.64,25.75,34.39,12.25,5.32,3.36,11.96,17.54
Loyola Chicago,19,9,22.93,51.79,0.44,14.50,29.04,0.50,8.43,22.75,0.37,7.43,11.18,0.66,61.71,6.11,21.93,28.04,12.54,6.07,3.68,15.11,17.96
Southern Illinois,14,13,23.59,53.89,0.44,17.63,35.74,0.49,5.96,18.15,0.34,9.44,13.67,0.68,62.59,8.48,23.67,32.15,12.59,6.52,3.63,13.22,16.11
Abilene Christian,19,8,21.44,49.74,0.43,16.67,33.70,0.50,4.78,16.04,0.30,17.30,23.70,0.73,64.96,7.63,22.67,30.30,9.48,7.07,3.74,19.19,20.26
Stephen F. Austin,24,3,21.89,52.15,0.42,15.19,32.41,0.47,6.70,19.74,0.34,16.04,22.30,0.74,66.52,7.59,19.74,27.33,11.48,7.59,3.81,19.70,21.81
Texas,15,12,23.30,53.81,0.43,18.44,39.04,0.48,4.85,14.78,0.33,13.04,19.30,0.68,64.48,8.85,23.52,32.37,10.56,6.44,3.26,12.67,14.19
TCU,13,16,23.93,54.79,0.44,17.69,36.86,0.48,6.24,17.93,0.35,11.34,17.14,0.67,65.45,8.55,22.66,31.21,14.86,6.66,4.31,12.76,15.55
Texas Tech,15,13,22.04,53.57,0.41,16.11,34.29,0.47,5.93,19.29,0.31,13.79,19.79,0.69,63.96,8.75,22.25,31.00,9.82,6.29,3.29,15.04,18.93
West Virginia,18,10,21.25,53.82,0.40,15.50,33.96,0.46,5.75,19.86,0.30,13.79,19.36,0.71,62.04,8.50,21.21,29.71,9.96,7.39,3.54,15.00,21.32
South Florida,13,15,22.25,50.14,0.44,15.64,29.86,0.52,6.61,20.29,0.33,11.71,17.07,0.70,62.82,6.61,21.71,28.32,11.21,6.50,3.21,13.61,17.79
Tulane,9,18,25.70,55.96,0.46,17.33,31.93,0.55,8.37,24.04,0.35,12.15,17.07,0.70,71.93,8.89,27.33,36.22,16.33,5.26,3.30,15.26,17.63
Marquette,16,11,25.70,61.44,0.42,18.81,40.07,0.47,6.89,21.37,0.32,14.44,21.41,0.68,72.74,8.85,23.41,32.26,13.22,6.67,3.07,10.44,19.37
Xavier,15,13,24.68,60.14,0.41,17.89,38.32,0.47,6.79,21.82,0.31,12.71,17.29,0.73,68.86,9.11,23.50,32.61,12.46,7.18,3.50,11.89,17.71
Boise St.,19,10,24.97,56.52,0.44,18.48,34.14,0.55,6.48,22.38,0.29,12.52,17.34,0.71,68.93,6.55,24.24,30.79,10.93,6.00,2.34,13.17,19.66
San Jose St.,5,22,29.85,62.22,0.48,22.11,41.04,0.54,7.74,21.19,0.36,15.26,21.89,0.70,82.70,9.19,27.93,37.11,18.63,7.37,2.56,13.04,19.00
Boston College,10,18,25.89,57.57,0.45,18.79,36.14,0.53,7.11,21.43,0.33,12.43,17.39,0.72,71.32,9.00,26.46,35.46,13.75,6.64,3.29,13.29,16.43
Louisville,20,7,22.26,56.41,0.40,15.30,33.30,0.46,6.96,23.11,0.30,12.41,16.48,0.74,63.89,7.48,22.41,29.89,10.74,6.11,3.48,11.59,17.04
Colorado St.,17,11,26.32,59.54,0.44,17.29,33.64,0.51,9.04,25.89,0.35,10.68,14.39,0.76,72.36,6.86,23.25,30.11,13.64,6.39,2.36,12.14,18.61
Nevada,17,10,24.19,60.11,0.41,16.07,33.15,0.49,8.11,26.96,0.30,15.59,21.52,0.72,72.15,8.07,23.70,31.78,12.26,4.89,2.67,10.70,16.00
Baylor,24,3,21.15,53.44,0.40,15.26,34.52,0.45,5.89,18.93,0.31,11.56,16.67,0.68,59.74,8.63,21.59,30.22,11.11,5.67,4.56,14.67,18.44
Iowa St.,10,19,26.93,58.86,0.46,19.31,37.31,0.52,7.62,21.55,0.35,11.93,16.93,0.70,73.41,9.24,22.69,31.93,13.41,7.52,2.97,13.66,16.86
New Mexico,15,14,27.83,61.41,0.45,18.79,35.21,0.54,9.03,26.21,0.34,10.62,15.28,0.69,75.31,9.45,23.69,33.14,15.93,7.14,2.52,13.72,18.66
San Diego St.,27,2,20.72,52.93,0.39,13.93,30.31,0.46,6.79,22.62,0.30,11.31,15.62,0.74,59.62,7.28,21.69,28.97,11.10,5.41,1.97,13.69,17.48
Cal Baptist,19,8,25.67,61.52,0.42,19.56,41.30,0.48,6.11,20.22,0.30,12.74,18.67,0.67,70.19,8.30,22.33,30.63,12.63,5.96,3.41,10.11,19.33
Utah Valley,8,17,25.28,59.52,0.43,19.20,40.72,0.48,6.08,18.80,0.33,15.16,20.48,0.74,71.80,9.08,25.04,34.12,12.12,6.36,4.00,12.04,19.36
Arizona St.,18,10,24.96,57.64,0.44,17.32,35.07,0.50,7.64,22.57,0.34,13.82,19.82,0.70,71.39,8.46,25.68,34.14,12.75,6.57,3.86,15.11,18.04
Washington St.,14,15,25.93,57.28,0.46,20.00,38.93,0.52,5.93,18.34,0.33,12.69,18.66,0.67,70.48,7.24,26.41,33.66,11.79,5.93,3.69,14.31,18.76
St. John's,14,14,24.71,58.86,0.42,16.89,33.93,0.50,7.82,24.93,0.31,15.00,21.46,0.68,72.25,10.21,28.29,38.50,14.14,5.18,4.57,16.11,16.71
Villanova,22,6,25.39,58.93,0.43,19.36,40.61,0.48,6.04,18.32,0.32,10.11,14.21,0.70,66.93,6.96,23.57,30.54,11.89,5.68,3.14,10.89,16.29
Tennessee,14,14,21.86,54.25,0.40,15.57,35.36,0.44,6.29,18.89,0.34,14.36,20.25,0.69,64.36,8.18,21.32,29.50,9.64,7.54,2.93,12.39,19.50
Texas A&M,14,13,22.22,54.37,0.41,13.00,26.63,0.49,9.22,27.74,0.33,11.37,15.00,0.74,65.04,9.07,21.93,31.00,14.37,6.52,3.81,13.93,19.15
Akron,22,6,24.39,60.79,0.41,18.00,39.82,0.46,6.39,20.96,0.31,11.14,16.96,0.64,66.32,9.61,23.04,32.64,10.43,5.82,2.68,12.54,19.79
Buffalo,18,11,27.66,63.31,0.44,20.76,41.55,0.50,6.90,21.76,0.32,13.97,19.03,0.74,76.17,9.34,25.14,34.48,12.90,6.72,3.69,13.62,17.83
Ball St.,15,12,23.07,56.96,0.41,17.19,37.96,0.46,5.89,19.00,0.32,11.41,16.52,0.69,63.44,8.00,24.22,32.22,9.56,6.63,2.78,13.19,16.56
Bowling Green,18,9,26.04,61.07,0.43,18.26,37.59,0.48,7.78,23.48,0.33,13.22,19.56,0.67,73.07,9.19,26.11,35.30,10.19,5.89,3.19,11.30,17.15
Cincinnati,18,9,24.04,59.63,0.40,16.85,38.81,0.43,7.19,20.81,0.34,12.81,17.33,0.74,68.07,9.11,21.74,30.85,12.11,6.70,4.11,13.30,19.11
SMU,16,11,24.07,57.00,0.42,15.26,32.26,0.47,8.81,24.74,0.35,12.00,16.19,0.75,68.96,8.59,20.89,29.48,14.48,7.00,2.89,11.78,16.74
Clemson,13,14,22.70,54.56,0.42,14.85,30.59,0.49,7.85,23.96,0.33,11.30,15.96,0.70,64.56,6.96,24.96,31.93,11.74,6.70,2.59,12.30,16.37
Syracuse,16,13,24.03,58.52,0.41,14.97,30.79,0.50,9.07,27.72,0.32,13.45,18.52,0.70,70.59,10.45,22.72,33.17,17.55,5.83,2.79,13.17,17.93
Florida,17,10,23.44,54.81,0.43,17.11,35.81,0.48,6.33,19.00,0.34,13.56,18.59,0.74,66.78,7.67,20.78,28.44,11.15,5.44,2.37,12.41,18.07
Mississippi St.,16,11,24.41,56.89,0.43,17.74,35.93,0.49,6.67,20.96,0.31,14.19,19.19,0.73,69.67,8.00,19.81,27.81,12.44,6.93,2.96,10.78,18.04
George Mason,13,15,24.71,55.57,0.45,17.86,34.57,0.52,6.86,21.00,0.33,11.71,17.82,0.66,68.00,7.71,22.21,29.93,12.29,6.75,3.86,11.96,18.61
Rhode Island,19,8,24.96,59.59,0.42,18.41,37.67,0.48,6.56,21.93,0.31,12.00,17.04,0.69,68.48,9.19,25.52,34.70,13.04,5.48,3.30,14.15,18.96
Georgia Tech,15,14,23.31,57.07,0.41,17.86,38.31,0.47,5.45,18.76,0.30,14.72,20.83,0.69,66.79,8.86,21.14,30.00,12.24,7.93,3.66,13.45,17.90
Michigan,16,12,25.79,60.68,0.43,20.11,43.21,0.47,5.68,17.46,0.32,11.54,16.64,0.68,68.79,7.82,24.29,32.11,10.29,4.43,2.93,10.75,15.89
