TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Army,14,13,27.63,57.78,0.48,20.63,37.22,0.56,7.00,20.56,0.34,9.48,15.26,0.62,71.74,5.93,25.30,31.22,16.15,5.26,1.59,11.30,14.67
Bucknell,12,18,23.90,57.13,0.42,16.03,33.47,0.48,7.87,23.67,0.34,11.03,16.27,0.65,66.70,7.13,21.73,28.87,11.83,7.50,3.30,12.40,18.37
Kentucky,22,5,25.81,55.56,0.46,20.48,40.85,0.50,5.33,14.70,0.36,17.15,21.48,0.80,74.11,8.44,24.89,33.33,13.78,5.26,5.19,11.74,18.67
Vanderbilt,9,20,23.14,55.07,0.42,15.38,31.10,0.50,7.76,23.97,0.33,16.62,23.72,0.70,70.66,7.52,22.00,29.52,11.14,6.83,2.90,12.24,19.38
Michigan St.,20,8,27.07,58.50,0.46,19.39,36.75,0.53,7.68,21.75,0.35,13.71,18.21,0.75,75.54,9.50,28.54,38.04,17.68,4.89,5.14,12.11,16.93
Northwestern,7,22,24.14,58.10,0.42,17.93,38.34,0.47,6.21,19.76,0.31,10.31,14.21,0.72,64.79,6.41,23.79,30.21,13.55,3.97,3.28,9.79,16.52
DePaul,11,16,25.26,60.11,0.42,19.93,42.22,0.47,5.33,17.89,0.30,13.33,19.89,0.65,69.19,10.33,23.67,34.00,13.26,7.63,4.81,14.22,19.07
Seton Hall,18,8,25.62,57.88,0.44,17.88,34.35,0.52,7.73,23.54,0.33,14.35,20.08,0.69,73.31,9.00,25.04,34.04,14.23,6.77,5.96,12.96,18.27
Boston University,19,11,26.97,58.67,0.46,20.47,38.70,0.53,6.50,19.97,0.33,10.27,15.83,0.65,70.70,9.43,24.57,34.00,12.70,5.27,2.33,10.87,14.90
Loyola MD,13,15,26.00,55.54,0.47,19.39,35.04,0.56,6.61,20.50,0.32,14.96,23.43,0.63,73.57,7.75,24.46,32.21,15.21,6.50,2.89,13.07,17.50
Bradley,21,10,25.42,57.23,0.45,18.65,39.23,0.48,6.77,18.00,0.37,13.42,18.35,0.74,71.03,9.42,25.74,35.16,13.23,4.68,4.16,11.39,16.45
Valparaiso,16,15,26.16,59.39,0.44,17.84,34.84,0.51,8.32,24.55,0.33,10.90,15.06,0.71,71.55,7.71,23.35,31.06,14.87,7.58,3.32,11.90,17.03
UCF,14,13,24.56,57.00,0.43,17.52,35.52,0.50,7.04,21.48,0.32,12.63,17.41,0.72,68.78,8.30,22.78,31.07,13.37,6.59,2.67,13.00,16.70
Memphis,18,9,23.85,55.93,0.43,17.33,36.15,0.48,6.52,19.78,0.34,14.93,21.85,0.68,69.15,8.44,27.70,36.15,13.37,7.78,5.85,16.41,19.48
The Citadel,6,21,26.15,61.15,0.43,16.70,32.00,0.52,9.44,29.15,0.32,12.67,18.11,0.69,74.41,7.52,24.59,32.11,14.30,6.85,3.07,14.67,16.96
Wofford,17,13,26.17,56.40,0.46,16.60,29.40,0.57,9.57,27.00,0.35,9.83,14.33,0.69,71.73,7.03,23.13,30.17,13.43,5.77,2.53,11.93,17.07
Colgate,24,6,27.83,61.43,0.45,17.67,33.47,0.53,10.17,27.97,0.36,11.63,15.70,0.76,77.47,9.07,25.63,34.70,14.77,6.17,3.03,10.20,15.30
Lafayette,17,10,25.56,57.33,0.45,17.15,32.07,0.54,8.41,25.26,0.33,10.56,14.30,0.73,70.07,6.67,25.44,32.11,15.26,4.67,4.41,10.78,14.26
Connecticut,17,11,25.18,59.46,0.43,18.29,38.14,0.49,6.89,21.32,0.32,14.89,20.07,0.74,72.14,10.86,22.89,33.75,13.07,7.07,5.89,13.89,18.43
Temple,11,17,23.96,59.18,0.41,17.21,38.57,0.45,6.75,20.61,0.33,13.25,19.25,0.69,67.93,7.46,26.21,33.68,14.00,7.21,2.82,12.64,18.07
Dayton,27,2,28.93,55.31,0.52,20.90,33.90,0.62,8.03,21.41,0.37,13.55,18.83,0.72,79.45,6.52,25.90,32.41,17.28,5.69,3.52,11.76,17.24
Duquesne,18,9,25.15,56.70,0.44,17.26,32.11,0.54,7.89,24.59,0.32,13.22,19.07,0.69,71.41,8.85,23.37,32.22,14.52,6.41,5.33,12.00,15.48
East Carolina,10,17,23.96,56.89,0.42,18.67,38.00,0.49,5.30,18.89,0.28,15.48,21.07,0.73,68.70,8.26,24.85,33.11,13.74,6.48,2.81,13.52,20.67
Houston,22,7,25.03,60.07,0.42,18.03,39.31,0.46,7.00,20.76,0.34,14.86,20.24,0.74,71.93,13.14,25.59,38.72,12.83,5.21,4.86,11.41,19.76
East Tennessee St.,27,4,26.94,57.16,0.47,19.35,34.87,0.55,7.58,22.29,0.34,14.71,20.90,0.69,76.16,9.81,23.39,33.19,13.68,8.16,3.26,11.65,17.52
Mercer,14,14,26.21,58.25,0.45,18.54,36.64,0.51,7.68,21.61,0.36,10.36,14.50,0.70,70.46,8.93,25.11,34.04,14.32,6.50,2.54,13.39,18.18
Fordham,6,22,20.82,54.32,0.38,13.50,31.21,0.43,7.32,23.11,0.32,9.50,13.86,0.69,58.46,5.79,23.39,29.18,11.14,6.75,2.68,11.75,17.43
St. Bonaventure,18,9,25.74,58.04,0.44,19.00,39.04,0.49,6.74,19.00,0.35,11.63,15.96,0.73,69.85,8.81,24.70,33.52,13.96,5.52,3.52,11.26,16.33
Furman,21,7,27.07,57.96,0.47,17.57,30.86,0.57,9.50,27.11,0.35,12.29,17.79,0.68,75.93,6.61,22.00,28.61,14.68,8.18,2.71,11.25,15.93
VMI,8,19,26.15,59.96,0.44,15.00,28.93,0.52,11.15,31.04,0.36,9.41,13.33,0.71,72.85,8.33,24.07,32.41,15.78,6.52,2.56,12.70,18.22
Davidson,15,12,25.15,55.48,0.45,16.19,30.85,0.53,8.96,24.63,0.36,13.74,18.11,0.76,73.00,6.59,24.70,31.30,14.30,5.33,2.93,10.30,15.81
George Washington,11,17,22.89,53.89,0.43,15.61,31.75,0.49,7.29,22.14,0.34,12.04,17.32,0.69,65.11,6.18,23.93,30.11,11.86,5.54,3.93,12.68,16.89
Binghamton,9,16,24.96,60.00,0.42,15.28,30.88,0.49,9.68,29.12,0.34,10.96,14.68,0.73,70.56,8.48,24.04,32.52,11.84,5.40,3.00,11.72,16.52
Hartford,15,13,23.36,55.93,0.42,15.82,33.79,0.47,7.54,22.14,0.34,12.61,17.75,0.70,66.86,7.04,24.04,31.07,12.86,7.14,2.32,13.18,17.07
Drake,17,13,24.40,54.40,0.45,17.43,33.50,0.53,6.97,20.90,0.34,12.23,17.20,0.70,68.00,6.70,24.30,31.00,14.40,5.10,3.77,12.10,17.20
Indiana St.,18,9,24.56,53.70,0.46,17.59,35.15,0.50,6.96,18.56,0.38,12.59,17.59,0.70,68.67,6.56,23.37,29.93,12.70,5.56,3.67,10.85,16.56
Alabama,15,13,27.50,62.68,0.44,16.46,31.68,0.53,11.04,31.00,0.35,16.29,23.61,0.66,82.32,10.04,25.71,35.75,14.07,6.32,4.32,14.18,20.14
LSU,19,9,28.57,60.96,0.47,21.64,39.82,0.55,6.93,21.14,0.32,16.29,21.14,0.77,80.36,10.25,26.14,36.39,13.07,6.36,3.71,11.11,15.68
Albany,13,16,22.76,55.24,0.41,14.66,31.03,0.47,8.10,24.21,0.34,12.69,18.24,0.70,66.31,7.45,25.41,32.86,12.83,5.72,2.79,13.14,16.48
